Date,IBM,MSFT
2010-01-04,132.4499969482422,30.950000762939453
2010-01-05,130.85000610351562,30.959999084472656
2010-01-06,130.0,30.770000457763672
2010-01-07,129.5500030517578,30.450000762939453
2010-01-08,130.85000610351562,30.65999984741211
2010-01-11,129.47999572753906,30.270000457763672
2010-01-12,130.50999450683594,30.06999969482422
2010-01-13,130.22999572753906,30.350000381469727
2010-01-14,132.30999755859375,30.959999084472656
2010-01-15,131.77999877929688,30.860000610351562
2010-01-19,134.13999938964844,31.100000381469727
2010-01-20,130.25,30.59000015258789
2010-01-21,129.0,30.010000228881836
2010-01-22,125.5,28.959999084472656
2010-01-25,126.12000274658203,29.31999969482422
2010-01-26,125.75,29.5
2010-01-27,126.33000183105469,29.670000076293945
2010-01-28,123.75,29.15999984741211
2010-01-29,122.38999938964844,28.18000030517578
2010-02-01,124.66999816894531,28.40999984741211
2010-02-02,125.52999877929688,28.459999084472656
2010-02-03,125.66000366210938,28.6299991607666
2010-02-04,123.0,27.84000015258789
2010-02-05,123.5199966430664,28.020000457763672
2010-02-08,121.87999725341797,27.719999313354492
2010-02-09,123.20999908447266,28.010000228881836
2010-02-10,122.80999755859375,27.989999771118164
2010-02-11,123.7300033569336,28.1200008392334
2010-02-12,124.0,27.93000030517578
2010-02-16,125.2300033569336,28.350000381469727
2010-02-17,126.33000183105469,28.59000015258789
2010-02-18,127.80999755859375,28.969999313354492
2010-02-19,127.19000244140625,28.770000457763672
2010-02-22,126.8499984741211,28.729999542236328
2010-02-23,126.45999908447266,28.329999923706055
2010-02-24,127.58999633789062,28.6299991607666
2010-02-25,127.06999969482422,28.600000381469727
2010-02-26,127.16000366210938,28.670000076293945
2010-03-01,128.57000732421875,29.020000457763672
2010-03-02,127.41999816894531,28.459999084472656
2010-03-03,126.87999725341797,28.459999084472656
2010-03-04,126.72000122070312,28.6299991607666
2010-03-05,127.25,28.59000015258789
2010-03-08,126.41000366210938,28.6299991607666
2010-03-09,125.55000305175781,28.799999237060547
2010-03-10,125.62000274658203,28.969999313354492
2010-03-11,127.5999984741211,29.18000030517578
2010-03-12,127.94000244140625,29.270000457763672
2010-03-15,127.83000183105469,29.290000915527344
2010-03-16,128.6699981689453,29.3700008392334
2010-03-17,127.76000213623047,29.6299991607666
2010-03-18,128.3800048828125,29.610000610351562
2010-03-19,127.70999908447266,29.59000015258789
2010-03-22,127.9800033569336,29.600000381469727
2010-03-23,129.3699951171875,29.8799991607666
2010-03-24,128.52999877929688,29.649999618530273
2010-03-25,129.24000549316406,30.010000228881836
2010-03-26,129.25999450683594,29.65999984741211
2010-03-29,128.58999633789062,29.59000015258789
2010-03-30,128.77000427246094,29.770000457763672
2010-03-31,128.25,29.290000915527344
2010-04-01,128.25,29.15999984741211
2010-04-05,129.35000610351562,29.270000457763672
2010-04-06,128.92999267578125,29.31999969482422
2010-04-07,128.47999572753906,29.350000381469727
2010-04-08,127.61000061035156,29.920000076293945
2010-04-09,128.75999450683594,30.34000015258789
2010-04-12,128.36000061035156,30.31999969482422
2010-04-13,129.02999877929688,30.450000762939453
2010-04-14,131.25,30.81999969482422
2010-04-15,130.88999938964844,30.8700008392334
2010-04-16,130.6300048828125,30.670000076293945
2010-04-19,132.22999572753906,31.040000915527344
2010-04-20,129.69000244140625,31.360000610351562
2010-04-21,128.99000549316406,31.329999923706055
2010-04-22,129.1300048828125,31.389999389648438
2010-04-23,129.99000549316406,30.959999084472656
2010-04-26,130.72999572753906,31.110000610351562
2010-04-27,128.82000732421875,30.850000381469727
2010-04-28,130.10000610351562,30.90999984741211
2010-04-29,130.4600067138672,31.0
2010-04-30,129.0,30.540000915527344
2010-05-03,129.60000610351562,30.860000610351562
2010-05-04,128.1199951171875,30.1299991607666
2010-05-05,127.45999908447266,29.850000381469727
2010-05-06,123.91999816894531,28.979999542236328
2010-05-07,122.0999984741211,28.209999084472656
2010-05-10,126.2699966430664,28.940000534057617
2010-05-11,126.88999938964844,28.8799991607666
2010-05-12,132.67999267578125,29.440000534057617
2010-05-13,131.47999572753906,29.239999771118164
2010-05-14,131.19000244140625,28.93000030517578
2010-05-17,130.44000244140625,28.940000534057617
2010-05-18,129.9499969482422,28.600000381469727
2010-05-19,128.86000061035156,28.239999771118164
2010-05-20,123.80000305175781,27.110000610351562
2010-05-21,125.41999816894531,26.84000015258789
2010-05-24,124.44999694824219,26.270000457763672
2010-05-25,124.5199966430664,26.06999969482422
2010-05-26,123.2300033569336,25.010000228881836
2010-05-27,126.38999938964844,26.0
2010-05-28,125.26000213623047,25.799999237060547
2010-06-01,124.33999633789062,25.889999389648438
2010-06-02,127.41000366210938,26.459999084472656
2010-06-03,127.95999908447266,26.860000610351562
2010-06-04,125.27999877929688,25.790000915527344
2010-06-07,124.12999725341797,25.290000915527344
2010-06-08,123.72000122070312,25.110000610351562
2010-06-09,123.9000015258789,24.790000915527344
2010-06-10,127.68000030517578,25.0
2010-06-11,128.4499969482422,25.65999984741211
2010-06-14,128.5,25.5
2010-06-15,129.7899932861328,26.579999923706055
2010-06-16,130.35000610351562,26.31999969482422
2010-06-17,130.97999572753906,26.3700008392334
2010-06-18,130.14999389648438,26.440000534057617
2010-06-21,130.64999389648438,25.950000762939453
2010-06-22,129.3000030517578,25.770000457763672
2010-06-23,130.11000061035156,25.309999465942383
2010-06-24,128.19000244140625,25.0
2010-06-25,127.12000274658203,24.530000686645508
2010-06-28,128.97999572753906,24.309999465942383
2010-06-29,125.08999633789062,23.309999465942383
2010-06-30,123.4800033569336,23.010000228881836
