Date,AAPL,IBM,MSFT
2010-01-04,26.601469039916992,96.99732971191406,24.360727310180664
2010-01-05,26.647457122802734,95.8255844116211,24.36859893798828
2010-01-06,26.223596572875977,95.2031021118164,24.219045639038086
2010-01-07,26.175119400024414,94.87357330322266,23.967174530029297
2010-01-08,26.349140167236328,95.8255844116211,24.132469177246094
2010-01-11,26.116703033447266,94.8222885131836,23.825496673583984
2010-01-12,25.819623947143555,95.57659912109375,23.668073654174805
2010-01-13,26.183822631835938,95.37152099609375,23.888463973999023
2010-01-14,26.03217887878418,96.89480590820312,24.36859893798828
2010-01-15,25.597126007080078,96.50666046142578,24.289886474609375
2010-01-19,26.7294979095459,98.23494720458984,24.478792190551758
2010-01-20,26.318065643310547,95.38619232177734,24.07736587524414
2010-01-21,25.86312484741211,94.47079467773438,23.62085723876953
2010-01-22,24.58034896850586,91.90760040283203,22.794395446777344
2010-01-25,25.241626739501953,92.36165618896484,23.077756881713867
2010-01-26,25.598369598388672,92.09069061279297,23.219430923461914
2010-01-27,25.839513778686523,92.51544952392578,23.353240966796875
2010-01-28,24.771774291992188,90.62604522705078,22.951814651489258
2010-01-29,23.873083114624023,89.63007354736328,22.180463790893555
2010-02-01,24.2049617767334,91.29978942871094,22.361494064331055
2010-02-02,24.345422744750977,91.92959594726562,22.40084457397461
2010-02-03,24.76431655883789,92.02481079101562,22.53466033935547
2010-02-04,23.871843338012695,90.0767822265625,21.912851333618164
2010-02-05,24.295703887939453,90.45758056640625,22.054527282714844
2010-02-08,24.129140853881836,89.65579223632812,21.818391799926758
2010-02-09,24.386444091796875,90.6341552734375,22.046649932861328
2010-02-10,24.253442764282227,90.33988952636719,22.030914306640625
2010-02-11,24.6947078704834,91.01667785644531,22.133237838745117
2010-02-12,24.90726661682129,91.2152328491211,21.983684539794922
2010-02-16,25.282644271850586,92.12005615234375,22.418609619140625
2010-02-17,25.176990509033203,92.92925262451172,22.6083984375
2010-02-18,25.224225997924805,94.01795196533203,22.908891677856445
2010-02-19,25.067609786987305,93.56183624267578,22.750736236572266
2010-02-22,24.912235260009766,93.3117446899414,22.7191104888916
2010-02-23,24.494585037231445,93.02484130859375,22.402795791625977
2010-02-24,24.942062377929688,93.85608673095703,22.640033721923828
2010-02-25,25.108627319335938,93.47357177734375,22.616308212280273
2010-02-26,25.434293746948242,93.53980255126953,22.671663284301758
2010-03-01,25.977487564086914,94.5770034790039,22.948440551757812
2010-03-02,25.960084915161133,93.73104858398438,22.505596160888672
2010-03-03,26.019742965698242,93.33379364013672,22.505596160888672
2010-03-04,26.191282272338867,93.21611785888672,22.640033721923828
2010-03-05,27.215511322021484,93.60599517822266,22.6083984375
2010-03-08,27.231672286987305,92.98806762695312,22.640033721923828
2010-03-09,27.721418380737305,92.35548400878906,22.774465560913086
2010-03-10,27.94764518737793,92.40694427490234,22.908891677856445
2010-03-11,28.02967643737793,93.86344909667969,23.074960708618164
2010-03-12,28.16641616821289,94.11355590820312,23.146129608154297
2010-03-15,27.823341369628906,94.03265380859375,23.161951065063477
2010-03-16,27.8991641998291,94.65058135986328,23.2252140045166
2010-03-17,27.858152389526367,93.98114776611328,23.430805206298828
2010-03-18,27.92402458190918,94.437255859375,23.41499137878418
2010-03-19,27.625701904296875,93.94437408447266,23.399179458618164
2010-03-22,27.936452865600586,94.14295959472656,23.407087326049805
2010-03-23,28.38517951965332,95.16548156738281,23.628509521484375
2010-03-24,28.51072120666504,94.54756927490234,23.44662857055664
2010-03-25,28.172624588012695,95.06985473632812,23.731313705444336
2010-03-26,28.70090103149414,95.08455657958984,23.45453453063965
2010-03-29,28.886104583740234,94.59170532226562,23.399179458618164
2010-03-30,29.316186904907227,94.72409057617188,23.54152488708496
2010-03-31,29.21053123474121,94.34159088134766,23.161951065063477
2010-04-01,29.331104278564453,94.34159088134766,23.05914306640625
2010-04-05,29.64433479309082,95.1507797241211,23.146129608154297
2010-04-06,29.774850845336914,94.84182739257812,23.185672760009766
2010-04-07,29.9066104888916,94.51080322265625,23.209388732910156
2010-04-08,29.825817108154297,93.87081909179688,23.660139083862305
2010-04-09,30.05452537536621,94.71674346923828,23.992265701293945
2010-04-12,30.116676330566406,94.42252349853516,23.97644805908203
2010-04-13,30.13408088684082,94.91536712646484,24.079248428344727
2010-04-14,30.539297103881836,96.54843139648438,24.371843338012695
2010-04-15,30.94078826904297,96.2835922241211,24.411376953125
2010-04-16,30.75185203552246,96.09234619140625,24.25322723388672
2010-04-19,30.71083641052246,97.269287109375,24.545812606811523
2010-04-20,30.40256690979004,95.40089416503906,24.798860549926758
2010-04-21,32.221073150634766,94.88594818115234,24.775135040283203
2010-04-22,33.122249603271484,94.98892974853516,24.82258415222168
2010-04-23,33.66420364379883,95.62157440185547,24.48255157470703
2010-04-26,33.49889373779297,96.16588592529297,24.601167678833008
2010-04-27,32.571598052978516,94.76091003417969,24.39556312561035
2010-04-28,32.51691436767578,95.70246887207031,24.443002700805664
2010-04-29,33.39198684692383,95.96728515625,24.514177322387695
2010-04-30,32.45352554321289,94.893310546875,24.150423049926758
2010-05-03,33.10734176635742,95.33466339111328,24.40346908569336
2010-05-04,32.153953552246094,94.24598693847656,23.826208114624023
2010-05-05,31.819595336914062,93.7604751586914,23.60478973388672
2010-05-06,30.608903884887695,91.62366485595703,22.91680908203125
2010-05-07,29.31743049621582,90.27799987792969,22.30790901184082
2010-05-10,31.57098960876465,93.3612060546875,22.885177612304688
2010-05-11,31.885467529296875,93.81961059570312,22.837726593017578
2010-05-12,32.577823638916016,98.10061645507812,23.280567169189453
